data,m2
2013/3/30,2363.625
2013/3/31,2374.125
2013/4/1,2352.375
2013/4/2,2379.75
2013/4/3,2422.125
2013/4/4,2405.625
2013/4/5,2358
2013/4/6,2363.25
2013/4/7,2364.375
2013/4/8,2365.125
2013/4/9,2363.625
2013/4/10,2372.625
2013/4/11,2419.5
2013/4/12,2349.75
2013/4/13,2340.375
2013/4/14,2353.125
2013/4/15,2344.5
2013/4/16,2356.5
2013/4/17,2317.875
2013/4/18,2334.375
2013/4/19,2362.875
2013/4/20,2357.25
2013/4/21,2361.375
2013/4/22,2324.25
2013/4/23,2324.625
2013/4/24,2352
2013/4/25,2314.875
2013/4/26,2323.125
2013/4/27,2352
2013/4/28,2349.375
2013/4/29,2335.125
2013/4/30,2326.125
2013/5/1,2333.625
2013/5/2,2316.75
2013/5/3,2316
2013/5/4,2328.375
2013/5/5,2309.625
2013/5/6,2302.5
2013/5/7,2271.375
2013/5/8,2280.75
2013/5/9,2286
2013/5/10,2258.25
2013/5/11,2259.75
2013/5/12,2310.375
2013/5/13,2304.375
2013/5/14,2314.125
2013/5/15,2313.75
2013/5/16,2307
2013/5/17,2282.625
2013/5/18,2287.5
2013/5/19,2253
2013/5/20,2220.375
2013/5/21,2222.25
2013/5/22,2240.625
2013/5/23,2209.125
2013/5/24,2193.375
2013/5/25,2159.25
2013/5/26,2152.875
2013/5/27,2177.625
2013/5/28,2158.5
2013/5/29,2240.25
2013/5/30,2274.75
2013/5/31,2284.125
2013/6/1,2259.75
2013/6/2,2266.5
2013/6/3,2280.75
2013/6/4,2346
2013/6/5,2350.125
2013/6/6,2394.75
2013/6/7,2394.75
2013/6/8,2427
2013/6/9,2452.125
2013/6/10,2452.125
2013/6/11,2418.75
2013/6/12,2415.375
2013/6/13,2405.25
2013/6/14,2414.625
2013/6/15,2419.125
2013/6/16,2415.375
2013/6/17,2413.125
2013/6/18,2413.5
2013/6/19,2385.375
2013/6/20,2394.375
2013/6/21,2394
2013/6/22,2424
2013/6/23,2406
2013/6/24,2384.625
2013/6/25,2392.125
2013/6/26,2404.125
2013/6/27,2411.625
2013/6/28,2407.125
2013/6/29,2427.375
2013/6/30,2437.125
2013/7/1,2468.625
2013/7/2,2475.375
2013/7/3,2485.875
2013/7/4,2493.75
2013/7/5,2515.875
2013/7/6,2527.875
2013/7/7,2534.625
2013/7/8,2545.125
2013/7/9,2539.875
2013/7/10,2526.375
2013/7/11,2532.375
2013/7/12,2528.25
2013/7/13,2495.25
2013/7/14,2502.375
2013/7/15,2515.125
2013/7/16,2518.875
2013/7/17,2516.625
2013/7/18,2514.375
2013/7/19,2516.25
2013/7/20,2428.875
2013/7/21,2456.25
2013/7/22,2464.125
2013/7/23,2464.125
2013/7/24,2480.625
2013/7/25,2490.75
2013/7/26,2507.25
2013/7/27,2530.875
2013/7/28,2515.125
2013/7/29,2487
2013/7/30,2480.25
2013/7/31,2448.75
2013/8/1,2482.5
2013/8/2,2518.125
2013/8/3,2506.125
